Wed 03 January 2001,5,6,16,17,19,22,40
Sat 06 January 2001,6,16,23,34,35,40,37
Wed 10 January 2001,10,14,15,23,24,27,39
Sat 13 January 2001,12,23,28,34,36,40,18
Wed 17 January 2001,10,13,24,31,36,47,41
Sat 20 January 2001,13,17,22,41,43,47,28
Wed 24 January 2001,10,11,28,29,31,39,24
Sat 27 January 2001,4,12,15,39,45,47,22
Wed 31 January 2001,1,16,33,36,38,45,48
Sat 03 February 2001,2,15,16,17,25,26,44
Wed 07 February 2001,2,5,33,37,40,45,22
Sat 10 February 2001,7,9,12,17,20,32,30
Wed 14 February 2001,3,10,23,27,30,32,19
Sat 17 February 2001,10,14,31,35,40,45,26
Wed 21 February 2001,8,10,24,30,40,44,17
Sat 24 February 2001,1,3,12,28,29,41,42
Wed 28 February 2001,4,9,12,13,22,32,8
Sat 03 March 2001,7,14,20,24,38,48,17
Wed 07 March 2001,3,12,30,33,40,49,22
Sat 10 March 2001,2,4,12,21,36,37,46
Wed 14 March 2001,1,5,8,31,37,38,15
Sat 17 March 2001,1,3,15,26,45,46,48
Wed 21 March 2001,11,22,27,34,39,42,36
Sat 24 March 2001,6,25,31,32,42,43,38
Wed 28 March 2001,2,25,34,35,36,39,26
Sat 31 March 2001,22,23,26,34,37,44,8
Wed 04 April 2001,10,16,23,24,28,45,46
Sat 07 April 2001,9,19,30,32,34,44,18
Wed 11 April 2001,2,19,37,38,44,49,33
Sat 14 April 2001,7,24,35,41,42,47,12
Wed 18 April 2001,30,35,41,44,46,49,33
Sat 21 April 2001,12,20,23,26,33,46,1
Wed 25 April 2001,10,11,24,35,40,44,33
Sat 28 April 2001,2,25,33,40,44,47,17
Wed 02 May 2001,2,17,20,23,28,43,16
Sat 05 May 2001,1,3,16,33,46,47,35
Wed 09 May 2001,9,18,27,30,32,48,46
Sat 12 May 2001,6,29,30,38,39,45,22
Wed 16 May 2001,1,25,27,33,38,45,4
Sat 19 May 2001,4,12,30,33,43,48,35
Wed 23 May 2001,4,11,30,31,44,47,21
Sat 26 May 2001,3,15,22,29,35,49,20
Wed 30 May 2001,7,15,23,35,39,44,48
Sat 02 June 2001,7,11,19,24,32,39,29
Wed 06 June 2001,12,16,35,37,38,47,26
Sat 09 June 2001,12,14,24,33,45,48,31
Wed 13 June 2001,12,14,19,33,35,48,40
Sat 16 June 2001,7,25,31,35,39,45,8
Wed 20 June 2001,11,18,24,31,34,49,48
Sat 23 June 2001,7,15,16,24,25,46,37
Wed 27 June 2001,12,18,39,43,45,49,33
Sat 30 June 2001,9,15,22,43,46,48,21
Wed 04 July 2001,13,28,32,38,40,47,27
Sat 07 July 2001,24,34,37,38,41,49,15
Wed 11 July 2001,11,16,19,24,33,47,39
Sat 14 July 2001,7,11,14,22,37,38,36
Wed 18 July 2001,2,25,31,37,41,45,6
Sat 21 July 2001,1,9,13,18,27,45,29
Wed 25 July 2001,1,2,3,8,30,37,19
Sat 28 July 2001,3,13,29,31,36,45,44
Wed 01 August 2001,11,15,20,27,33,40,14
Sat 04 August 2001,4,7,11,15,28,47,39
Wed 08 August 2001,26,29,31,32,39,46,33
Sat 11 August 2001,18,19,25,36,38,40,42
Wed 15 August 2001,4,6,18,21,35,38,31
Sat 18 August 2001,11,16,18,22,23,31,37
Wed 22 August 2001,14,20,22,29,33,37,45
Sat 25 August 2001,1,10,14,30,36,43,20
Wed 29 August 2001,4,5,9,13,29,47,36
Sat 01 September 2001,1,9,32,34,38,49,3
Wed 05 September 2001,15,23,24,27,43,48,12
Sat 08 September 2001,1,6,13,18,20,49,30
Wed 12 September 2001,11,21,25,27,30,35,40
Sat 15 September 2001,2,9,15,17,40,48,23
Wed 19 September 2001,6,8,21,25,30,45,42
Sat 22 September 2001,6,14,35,45,46,49,16
Wed 26 September 2001,3,14,15,17,19,47,5
Sat 29 September 2001,2,14,17,22,38,44,35
Wed 03 October 2001,2,14,26,30,44,45,40
Sat 06 October 2001,9,12,29,33,44,47,45
Wed 10 October 2001,18,26,28,30,38,46,25
Sat 13 October 2001,8,33,38,40,48,49,6
Wed 17 October 2001,5,20,26,31,32,40,36
Sat 20 October 2001,1,3,6,19,21,26,14
Wed 24 October 2001,8,38,39,40,43,44,3
Sat 27 October 2001,2,21,23,24,27,38,33
Wed 31 October 2001,4,5,6,18,36,49,13
Sat 03 November 2001,10,31,34,39,43,44,17
Wed 07 November 2001,8,9,10,20,39,40,36
Sat 10 November 2001,6,23,24,25,30,49,39
Wed 14 November 2001,19,29,32,33,43,47,46
Sat 17 November 2001,12,19,30,34,37,41,1
Wed 21 November 2001,10,25,30,38,44,46,17
Sat 24 November 2001,23,27,30,37,38,42,28
Wed 28 November 2001,8,22,31,32,42,45,20
Sat 01 December 2001,2,14,19,26,34,48,11
Wed 05 December 2001,4,6,8,19,23,29,38
Sat 08 December 2001,1,14,16,30,34,42,9
Wed 12 December 2001,9,23,25,33,38,44,29
Sat 15 December 2001,5,7,13,24,35,40,16
Wed 19 December 2001,7,28,34,43,46,48,20
Sat 22 December 2001,1,9,10,12,23,40,8
Wed 26 December 2001,10,17,26,29,36,37,16
Sat 29 December 2001,11,19,31,32,36,45,41
